Elo_Mean_by_MostFrequentECO_Cat_Frequency_Quartile_1,Elo_SEM_by_MostFrequentECO_Cat_Frequency_Quartile_1,Elo_Mean_by_MostFrequentECO_Cat_Frequency_Quartile_2,Elo_SEM_by_MostFrequentECO_Cat_Frequency_Quartile_2,Elo_Mean_by_MostFrequentECO_Cat_Frequency_Quartile_3,Elo_SEM_by_MostFrequentECO_Cat_Frequency_Quartile_3,Elo_Mean_by_MostFrequentECO_Cat_Frequency_Quartile_4,Elo_SEM_by_MostFrequentECO_Cat_Frequency_Quartile_4,Elo_Mean_by_MeanSpacing_Quartile_1,Elo_SEM_by_MeanSpacing_Quartile_1,Elo_Mean_by_MeanSpacing_Quartile_2,Elo_SEM_by_MeanSpacing_Quartile_2,Elo_Mean_by_MeanSpacing_Quartile_3,Elo_SEM_by_MeanSpacing_Quartile_3,Elo_Mean_by_MeanSpacing_Quartile_4,Elo_SEM_by_MeanSpacing_Quartile_4
1125.42489919355,1.70756173747043,1126.83266129032,1.68777759028111,1125.99243951613,1.70305177660032,1125.78612209047,1.4457661242579,1121.60662318113,1.55100364664641,1124.88309081786,1.51397365303318,1128.44054189664,1.70309695489945,1127.69894631209,1.75968754123115
1122.80090725806,1.50741113550822,1124.25756048387,1.49454233633757,1122.96673387097,1.4779168974509,1124.76548089592,1.38254130366498,1119.82288008028,1.42726953912716,1123.22378324134,1.39032551000713,1126.04264927245,1.52829769608148,1125.06322127446,1.55252123346901
1121.44657258065,1.48450109374206,1123.1310483871,1.43659119061536,1122.90120967742,1.44450091357235,1124.18796662275,1.32447149736673,1118.57300551932,1.35340405351816,1123.22729553437,1.38230314074371,1125.41194179629,1.48627618545667,1124.1726041144,1.50039613221246
1121.52923387097,1.47984893886628,1123.2247983871,1.43150160230864,1122.71370967742,1.42972558504706,1124.73561703996,1.31027106914779,1118.67436026091,1.33409447119576,1123.32714500753,1.38586269242848,1125.82288008028,1.48129628704065,1124.38986452584,1.49061342226223
1121.70010080645,1.49367193510406,1124.07510080645,1.45502826741422,1122.95866935484,1.44514584236453,1125.18313570487,1.29228269240749,1119.28449573507,1.32693991707705,1123.46663321626,1.37648586326882,1126.06271951831,1.49821652660113,1124.80782739589,1.50476912673915
1121.93195564516,1.51534023659085,1124.36844758065,1.46952799430035,1123.97530241935,1.46879773920398,1125.67676767677,1.30572467229146,1119.5825388861,1.31756181373706,1124.07777220271,1.36838319412213,1126.53135975916,1.52562312896335,1125.67787255394,1.56639213827369
1123.10685483871,1.52719434290995,1125.16078629032,1.49315956620431,1124.57661290323,1.49943514323679,1125.98155467721,1.32131693485957,1119.98845960863,1.32603538424395,1124.49673858505,1.37816179788136,1127.32764676367,1.53852463688112,1126.8845960863,1.5976896505107
1123.55090725806,1.54109301587157,1125.99798387097,1.50961686889514,1125.28427419355,1.50590827923761,1126.77953447519,1.34057231147203,1120.39438033116,1.330338199484,1125.2082288008,1.39030797192576,1128.46864024084,1.56690398898607,1127.55544405419,1.61334019665781
1124.13004032258,1.56047586586112,1126.92993951613,1.55242203289254,1126.125,1.53977349585628,1127.70092226614,1.35236535843252,1121.0291018565,1.33339444367405,1126.19217260411,1.41163283327907,1129.45208228801,1.59387377305337,1128.28650275966,1.65396525395057
1124.56401209677,1.5749997087429,1128.17489919355,1.56852421231982,1126.73689516129,1.55236189384699,1128.28941589811,1.36665859025041,1121.28549924737,1.33131223469069,1127.17511289513,1.42997308243947,1130.44204716508,1.62922204179494,1128.82990466633,1.65677082838873
1125.26209677419,1.59191657291433,1129.1502016129,1.58285550869203,1127.79435483871,1.58403123658315,1129.26394378568,1.38693738560852,1122.01856497742,1.33716589879632,1128.26392373307,1.43521786974195,1131.33166081285,1.65752705833897,1130.1144004014,1.69405295589946
1125.87197580645,1.6038969578502,1130.87096774194,1.60957830493994,1128.91532258065,1.59651314307967,1130.57180500659,1.40559068017908,1122.44856999498,1.34764532722638,1129.61364776719,1.45218574194401,1132.56547917712,1.68542340302643,1131.67686904165,1.70708736814268
1126.73387096774,1.61848302000736,1131.63256048387,1.63311076240219,1129.44203629032,1.60149997273822,1131.51515151515,1.42019026333231,1122.72002007025,1.36402571124257,1130.82689412945,1.46982446363419,1133.89262418465,1.71194771003634,1132.31209232313,1.70892577027914
1127.60282258065,1.62912868567177,1132.84072580645,1.6563606528655,1130.26058467742,1.6192346880208,1132.17435221783,1.43595298518026,1123.0150526844,1.37815040396357,1132.03110888108,1.50273517305373,1135.1144004014,1.72198964229223,1133.12242849975,1.72105089553522
1128.60080645161,1.63939419353032,1133.71975806452,1.66591165604112,1131.42338709677,1.63219341567038,1133.31664470795,1.44547820256757,1124.16708479679,1.39761022872095,1132.83241344706,1.50745976881405,1135.96989463121,1.74043297572608,1134.51981936779,1.72497587591613
1129.51209677419,1.65259550431885,1134.73336693548,1.68369154065541,1132.2404233871,1.64227008189975,1134.0101010101,1.46128209037854,1124.87004515805,1.40124264631236,1133.52985449072,1.51987861704792,1136.87255393879,1.75694568132162,1135.59508278976,1.74983718305
1130.12953629032,1.67195803101422,1135.74143145161,1.71130929613656,1133.22278225806,1.66359802904003,1135.3364075538,1.46616718426663,1126.05368790768,1.40473208469105,1134.92423482188,1.53274880234276,1137.80331159057,1.78103918244333,1136.19869543402,1.78071064865491
1131.15675403226,1.68944673613592,1136.90473790323,1.71698423337163,1134.16280241935,1.6655117262057,1136.20553359684,1.47979079105388,1126.73707977923,1.41685391463499,1136.12092323131,1.54652156379231,1138.79729051681,1.78479469977787,1137.32664325138,1.79605989902375
1132.36794354839,1.70091219862105,1137.84627016129,1.74024131997366,1134.96169354839,1.69087591756049,1137.44664031621,1.49589773034735,1127.29302558956,1.43653737316259,1137.39036628199,1.55785184303948,1140.06221776217,1.80832800310066,1138.41093828399,1.81464515458138
1133.36088709677,1.71156973803537,1138.72731854839,1.75160939478757,1135.95967741935,1.70621333349632,1138.31137461572,1.51761083631657,1127.99648770697,1.44757450476567,1138.26442548921,1.5691679644523,1140.90065228299,1.82144740931089,1139.75965880582,1.83908821393793
